no,property-name,price,house-type,area,bedrooms,bathrooms,receptions,location,county,postal-code,
805,Bickenhall Mansions,2150000,Flat / Apartment,1672,3,3,3, Marylebone,London,W1U 6BT,
806,Goodwood Court,800000,Flat / Apartment,548,2,2,2, Marylebone,London,W1W 5DZ,
807,Portland Chambers,1750000,Flat / Apartment,883,2,2,2, Fitzrovia,London,W1W 6RP,
808,Bowden House,1178000,New development,847,2,2,2, Battersea,London,SW11 4FA,
809,One Bishopsgate Plaza,1285000,New development,652,1,1,1,,City Of London,EC2M 4JY,
810,Aubrey Road,7950000,House,3443,5,5,5,,London,W8 7JJ,
811,Wynnstay Gardens,2150000,Flat / Apartment,1806,4,4,4,,London,W8 6UP,
812,Battledean Road,1895000,House,2132,5,5,5,Highbury,London,N5 1UZ,
813,Galleria,1200000,Flat / Apartment,1355,2,2,2,29 Laycock Street,London,N1 1UR,
814,Independent Place,725000,House,804,1,1,1,Hackney,London,E8 2HE,
815,Wildwood Grove,1100000,House,1069,2,2,2,Hampstead,London,NW3 7HU,
816,Gifford Gardens,1000000,New development,2258,4,4,4,,London,W7 3AS,
817,Ternary Place,600000,New development,870,1,1,1, Ealing,London,W5 3HJ,
818,Gloucester Road,695000,Flat / Apartment,537,1,1,1,,London,SW7 4AU,
819,Gosberton Road,1450000,House,1921,4,4,4,,London,SW12 8LF,
820,Foxbourne Road,699950,Flat / Apartment,902,2,2,2,,London,SW17 8EN,
821,Ravenslea Road,1295000,House,1674,4,4,4,Balham,London,SW12 8RT,
822,Cranley Gardens,2600000,Flat / Apartment,1500,3,3,3,,London,SW7 3DD,
823,Crooked Billet,600000,House,570,2,2,2,Wimbledon,London,SW19 4RQ,
824,Alverstone Avenue,895000,House,900,3,3,3,Wimbledon,London,SW19 8BD,
825,Leopold Road,1160000,Penthouse,1112,2,2,2,Wimbledon,London,SW19 7JQ,
826,Bloomsbury Place,500000,Flat / Apartment,622,2,2,2,,London,SW18 2JB,
827,Chatham Place,625000,Flat / Apartment,797,2,2,2,,London,E9 6FJ,
828,Mortimer Court,450000,Flat / Apartment,377,1,1,1,Abbey Road,London,NW8 9AD,
829,Lebanon Park,2750000,House,2999,7,7,7,Twickenham,Middlesex,TW1 3DG,
830,St. Quintin Avenue,899950,Flat / Apartment,1115,3,3,3,,London,W10 6PB,
831,Pembridge Square,1250000,Flat / Apartment,649,1,1,1,,London,W2 4EH,
832,Holland Park Avenue,1650000,Flat / Apartment,1055,2,2,2,,London,W11 4UE,
833,Stanley Crescent,3450000,Penthouse,1575,2,2,2,Notting Hill,London,W11 2NA,
834,Stanley Crescent,2975000,Flat / Apartment,1657,3,3,3,,London,W11 2NA,
835,Wimpole Mews,2500000,House,1266,3,3,3,Marylebone,London,W1G 8PE,
836,Cadogan Gardens,2150000,Flat / Apartment,1064,2,2,2,Sloane Square,London,SW3 2RE,
837,Park Mansions,1995000,Flat / Apartment,1053,2,2,2,Knightsbridge,London,SW1X 7QS,
838,Pont Street,1700000,Flat / Apartment,1045,2,2,2,,London,SW1X 0AD,
839,Empire House,2600000,Flat / Apartment,1722,3,3,3,Thurloe Place,London,SW7 2RU,
840,Cadogan Gardens,1675000,Flat / Apartment,905,2,2,2,,London,SW3 2TH,
841,Chester Street,1495000,Flat / Apartment,776,1,1,1,,London,SW1X 7BB,
842,Rutland Gate,2895000,Flat / Apartment,1398,2,2,2,,London,SW7 1PJ,
843,Rutland Gate,1450000,Flat / Apartment,675,1,1,1,,London,SW7 1BB,
844,Hirst Court,795000,Flat / Apartment,691,1,1,1,20 Gatliff Road,London,SW1W 8QD,
845,Holland Park Avenue,1895000,Flat / Apartment,1522,2,2,2,,London,W11 3QU,
846,Imperial Court,1850000,Flat / Apartment,1480,3,3,3,4-10 Lexham Gardens,London,W8 5JH,
847,Campden Hill Gate,3500000,Flat / Apartment,1804,4,4,4,Duchess Of Bedford's Walk,London,W8 7QJ,
848,Vicarage Court,450000,Studio,410,0,0,0,Vicarage Gate,London,W8 4HF,
849,Cornwall Mansions,2895000,Flat / Apartment,1850,3,3,3,33 Kensington Court,London,W8 5BG,
850,Campden House,1250000,Flat / Apartment,1317,3,3,3,29 Sheffield Terrace,London,W8 7ND,
851,Melbury Court,4250000,Flat / Apartment,2713,6,6,6,Kensington High Street,London,W8 6NH,
852,Lexham Gardens,1300000,Flat / Apartment,1162,2,2,2,,London,W8 5JR,
853,Thackeray House,1175000,Flat / Apartment,793,2,2,2,Thackeray Street,London,W8 5HA,
854,Kensington Church Street,4450000,Penthouse,1894,3,3,3,,London,W8 7LP,
855,Winchester Court,1550000,Flat / Apartment,923,2,2,2,Vicarage Gate,London,W8 4AF,
856,Hornton Street,1300000,Flat / Apartment,914,2,2,2,,London,W8 7NP,
857,Sheen Gate Gardens,1450000,House,1899,4,4,4,East Sheen,London,SW14 7PD,
858,Ranmere Street,1175000,House,1503,4,4,4,,London,SW12 9QQ,
859,Carlton Drive,795000,New development,823,2,2,2,,London,SW15 2BS,
860,Drayton Gardens,4750000,House,3104,6,6,6,Chelsea,London,SW10 9RY,
861,Kings Court Mansions,799950,Flat / Apartment,890,2,2,2,721 Fulham Road,London,SW6 5PB,
862,Lower Mall,650000,Flat / Apartment,743,2,2,2,,London,W6 9DJ,
863,Burns Road,850000,House,1167,3,3,3,Battersea,London,SW11 5GX,
864,Candlemakers Apartments,560000,Flat / Apartment,779,1,1,1, Battersea,London,SW11 3RS,
865,Tyneham Road,910000,House,960,3,3,3,Battersea,London,SW11 5XP,
866,Emerson Court,399950,Flat / Apartment,621,1,1,1, Wimbledon,London,SW19 7PQ,
867,Wimbledon Hill Road,465000,Flat / Apartment,592,1,1,1,Wimbledon,London,SW19 7QU,
868,Swanage Road,1535000,House,2352,5,5,5,,London,SW18 2DY,
869,Kenilworth Court,1295000,Flat / Apartment,1702,4,4,4, Putney,London,SW15 1HA,
870,Oakhill Road,825000,Flat / Apartment,947,2,2,2,Putney,London,SW15 2FJ,
871,Gloucester Avenue,1195000,Flat / Apartment,879,2,2,2,Primrose Hill,London,NW1 8JA,
872,Regents Park Road,1250000,Flat / Apartment,1061,2,2,2,Regent's Park,London,NW1 7SY,
873,Harley Road,1350000,Flat / Apartment,1225,2,2,2,,London,NW3 3BN,
874,St Marys Avenue,1225000,House,2289,5,5,5,Northwood,Middlesex,HA6 3AY,
875,Saxon Court,585000,Flat / Apartment,1032,2,2,2, Northwood,Middlesex,HA6 3FG,
876,Bromells Road,550000,New development,542,1,1,1,,London,SW4 0BG,
877,Paramount Court,985000,Flat / Apartment,677,2,2,2, Bloomsbury,London,WC1E 6JP,
878,Grosvenor Avenue,530000,Flat / Apartment,482,1,1,1,Highbury,London,N5 2NR,
879,Alwyne Road,4200000,House,2968,3,3,3,Islington,London,N1 2HN,
880,Lawford Road,1375000,House,1340,3,3,3,Islington,London,N1 5BJ,
881,Amhurst Road,575000,Flat / Apartment,707,2,2,2,Hackney,London,E8 2AG,
882,Highfields Grove,2950000,House,2740,4,4,4,Highgate,London,N6 6HN,
883,Basuto Road,1950000,House,1795,3,3,3, Parsons Green,Fulham,SW6 4BL,
884,Napier Avenue,3250000,House,3156,5,5,5,Fulham,London,SW6 3PT,
885,Hill House Road,900000,House,1989,3,3,3,,London,SW16 2AQ,
886,Wards Wharf Approach,300000,Flat / Apartment,517,1,1,1,Newham,London,E16 2ER,
887,Junction House,510000,New development,577,1,1,1, Battersea,London,SW11 2NU,
888,Foskett Road,350000,Flat / Apartment,302,1,1,1,Fulham,London,SW6 3LY,
889,Sinclair Gardens,875000,Flat / Apartment,981,2,2,2,Brook Green,London,W14 0AU,
890,Kingston Vale,1095000,House,2642,3,3,3,Kingston,London,SW15 3RN,
891,Eversley Park,3350000,House,3256,5,5,5,Wimbledon,London,SW19 4UU,
892,Ridgmount Road,1350000,House,1723,4,4,4,,London,SW18 2DA,
893,Regents Park Road,950000,Flat / Apartment,817,2,2,2,,London,NW1 7TL,
894,Manchuria Road,975000,Flat / Apartment,1013,2,2,2,,London,SW11 6AE,
895,Wellington Square,3950000,House,2530,6,6,6,Chelsea,London,SW3 4NW,
896,The Gatehouse,475000,Flat / Apartment,650,2,2,2,1 Tiltman Place,London,N7 7EE,
897,Tollington Way,575000,New development,840,2,2,2, London,N7 6QX,N7 6RG,
898,The Stack,599950,New development,930,3,3,3,Homerton,London,E9 6HP,
899,Marcon Place,585000,Flat / Apartment,881,2,2,2,Hackney,London,E8 1LP,
900,Lyndale Avenue,1750000,House,2223,4,4,4,Childs Hill,London,NW2 2QA,
901,The Butts,2950000,House,4034,6,6,6,Brentford,Middlesex,TW8 8BJ,
902,St. Dunstans Avenue,950000,House,1258,4,4,4,Acton,London,W3 6QH,
903,South Bank Tower,910000,Flat / Apartment,683,1,1,1, South Bank,London,SE1 9EY,
904,Criffel Avenue,1849950,House,2372,5,5,5,Streatham,London,SW2 4AY,
905,Ranelagh Mansions,700000,Flat / Apartment,758,2,2,2,New Kings Road,London,SW6 4RH,
906,Bradmore Park Road,1275000,House,1419,3,3,3,,London,W6 0DT,
907,South Park Road,425000,Flat / Apartment,549,1,1,1,Wimbledon,London,SW19 8TA,
908,Grove End Road,3000000,House,2432,4,4,4,St John's Wood,London,NW8 9LY,
909,Deodar Road,775000,Flat / Apartment,990,2,2,2,Putney,London,SW15 2NJ,
910,Rectory Grove,4950000,House,4482,7,7,7,Clapham,London,SW4 0DZ,
911,Muncaster Road,1850000,House,2088,4,4,4,,London,SW11 6NT,
912,Bishops Gate,649000,New development,560,1,1,1,82-88 Fulham High Street,London,SW6 3LF,
913,Stonefield Street,499950,Flat / Apartment,386,1,1,1,Islington,London,N1 0HW,
914,Amwell Court Estate,399950,Flat / Apartment,806,3,3,3, Finsbury Park,London,N4 2NY,
915,Packington Street,500000,Flat / Apartment,527,1,1,1,,London,N1 7EA,
916,Dalston Lane,1085000,House,1705,3,3,3,Hackney,London,E8 1NG,
917,Bishops Road,1595000,House,1679,4,4,4,Fulham,London,SW6 7AS,
918,Gosberton Road,1500000,House,2084,5,5,5,,London,SW12 8LE,
919,Hoadly Road,2800000,House,4050,6,6,6,,London,SW16 1AF,
920,Landmark Place At Tower Bridge,1799995,New development,1236,2,2,2,Water Lane,London,EC3R 6EA,
921,Emlyn Road,2700000,House,2685,5,5,5,Stamford Brook,London,W12 9TD,
922,Berrymede Road,1150000,House,1301,4,4,4,Chiswick,London,W4 5JD,
923,Lonsdale Road,2475000,House,2406,5,5,5,Barnes,London,SW13 9DA,
924,Tyneham Road,799950,House,766,2,2,2,Battersea,London,SW11 5XR,
925,Eaton Square,2950000,Flat / Apartment,1181,2,2,2,Belgravia,London,SW1W 9DF,
926,Fontarabia Road,595000,Flat / Apartment,683,1,1,1,,London,SW11 5PE,
927,Burland Road,1495000,House,1892,5,5,5,,London,SW11 6SA,
928,Southwold Mansions,625000,Flat / Apartment,693,2,2,2, Maida Vale,London,W9 2LF,
929,Clarendon Court,935000,Flat / Apartment,829,2,2,2,33 Maida Vale,Little Venice,W9 1AJ,
930,Albion Road,599995,Flat / Apartment,710,2,2,2,,London,N16 9PH,
931,Elrington Road,1650000,House,2048,4,4,4,Hackney,London,E8 3BJ,
932,Waldeck Road,525000,New development,666,1,1,1,Ealing,London,W13 8LY,
933,Clapham Common South Side,800000,Flat / Apartment,992,2,2,2,,London,SW4 9DX,
934,Selkirk Road,995000,House,1716,5,5,5,,London,SW17 0EP,
935,Snarsgate Street,775000,House,634,2,2,2,,London,W10 6QP,
936,Aspley Road,1595000,House,2287,5,5,5,,London,SW18 2DB,
937,Pinnacle House,1500000,Flat / Apartment,1438,3,3,3, Juniper Drive,London,SW18 1JE,
938,Eaton Square,3750000,Flat / Apartment,1550,2,2,2,Belgravia,London,SW1W 9BG,
939,Eastfields Avenue,895000,Flat / Apartment,1039,2,2,2, Putney,London,SW18 1FU,
940,Sandmere Road,799999,Flat / Apartment,1076,3,3,3,,London,SW4 7QH,
941,Barnard Mews,650000,Duplex,890,2,2,2, Battersea,London,SW11 1QU,
942,Fitzwilliam Road,1395000,House,1918,3,3,3,,London,SW4 0DN,
943,Alderside Apartments,550000,New development,547,1,1,1, 35 Salusbury Road,London,NW6 6BF,
944,Buckingham Road,1550000,House,1378,3,3,3,De Beauvoir,London,N1 4HY,
945,Kings College Court,4950000,New development,3330,3,3,3,55 Primrose Hill Road,London,NW3 3EA,
946,Kings College Court,2850000,Flat / Apartment,1752,2,2,2,55 Primrose Hill Road,London,NW3 3EA,
947,Greensward House,2250000,Flat / Apartment,2557,3,3,3, Fulham,London,SW6 2TG,
948,Ternary Place,595000,New development,807,2,2,2,North Ealing,London,W5 3HJ,
949,Oaklands Road,1225000,House,1758,4,4,4,,London,SW14 8NJ,
950,Limehouse Wharf,1350000,Flat / Apartment,2264,2,2,2, Canary Wharf,London,E14 8BP,
951,Lime Quarter,545000,New development,773,2,2,2,Bow,London,E3 3PJ,
952,Leythe Road,1195000,House,1668,4,4,4,Acton,London,W3 8AW,
953,Carlton House,822500,New development,869,2,2,2, Putney,London,SW15 2BS,
954,Parliament View Apartments,1345000,Flat / Apartment,1030,3,3,3,1 Albert Embankment,London,SE1 7XL,
955,The Tower,1400000,Flat / Apartment,1145,2,2,2, Vauxhall,London,SW8 2BW,
956,Peninsula Heights,1750000,Flat / Apartment,1232,2,2,2,93 Albert Embankment,London,SE1 7TY,
957,Chester Close North,2350000,House,1844,4,4,4,Regent's Park,London,NW1 4JE,
958,Elm Tree Court,1075000,Flat / Apartment,1142,3,3,3,Elm Tree Road,London,NW8 9JT,
959,Gayville Road,1350000,House,1637,4,4,4,,London,SW11 6JW,
960,Green Street,2250000,Flat / Apartment,1348,2,2,2,Mayfair,London,W1K 6RG,
961,Northstand Apartments,699950,Flat / Apartment,787,2,2,2,Highbury Stadium Square,London,N5 1FN,
962,Highbury Hill,1425000,House,1761,3,3,3,Highbury,London,N5 1AU,
963,Reliance Wharf,435000,Flat / Apartment,527,1,1,1,Islington,London,N1 5ET,
964,Pattison Road,2950000,House,3300,5,5,5,,London,NW2 2HJ,
965,Ternary Place,645000,New development,904,2,2,2, Ealing,London,W5 3HJ,
966,Nightingale Square,2500000,House,2413,5,5,5,,London,SW12 8QJ,
967,Gaskarth Road,1200000,House,1585,4,4,4,,London,SW12 9NN,
968,Cambridge Road,1750000,House,1891,5,5,5,Barnes,London,SW13 0PG,
969,Mirabel Road,725000,Flat / Apartment,924,3,3,3,Fulham,London,SW6 7EH,
970,Tyneham Road,850000,House,780,2,2,2,Battersea,London,SW11 5XR,
971,Princes Road,2249000,House,2600,5,5,5,Wimbledon,London,SW19 8RB,
972,Old York Road,475000,Flat / Apartment,598,1,1,1,,London,SW18 1TQ,
973,Tritton House,525000,New development,558,1,1,1,3 Ryeland Boulevard,London,SW18 1UF,
974,Gore Road,370000,Flat / Apartment,400,1,1,1,South Hackney,London,E9 7HW,
975,Calvin Street,2500000,Flat / Apartment,2132,2,2,2,Spitalfields,London,E1 6NW,
976,Hillside Rise,700000,Bungalow,1301,3,3,3,Northwood,Middlesex,HA6 1RR,
977,Bennerley Road,1595000,House,2046,4,4,4,,London,SW11 6DR,
978,Delaware Mansions,715000,Flat / Apartment,764,2,2,2, Maida Vale,London,W9 2LL,
979,Carlton Mansions,985000,Flat / Apartment,978,2,2,2, Maida Vale,London,W9 1NR,
980,Great Portland Street,4850000,Penthouse,1518,3,3,3,Fitzrovia,London,W1W 7LS,
981,Buckingham Road,699950,House,1255,1,1,1,Islington,London,N1 4JA,
982,Bromyard House,350000,Flat / Apartment,420,1,1,1, Acton,London,W3 7FG,
983,York Avenue,3250000,House,3467,6,6,6,East Sheen,London,SW14 7LQ,
984,Badminton Road,899950,Flat / Apartment,939,2,2,2,,London,SW12 8BN,
985,Landmark Place At Tower Bridge,2166000,New development,1236,2,2,2,Water Lane,London,EC3R 6EA,
986,Junction House,480000,New development,577,1,1,1, Battersea,London,SW11 2NU,
987,Elsham Road,825000,Flat / Apartment,869,2,2,2,Brook Green,London,W14 8HB,
988,"Park Terrace, Warriner Gardens",2950000,New development,2768,4,4,4,Battersea,London,SW11 4XW,
989,Southlands Drive,585000,Flat / Apartment,784,2,2,2,Wimbledon,London,SW19 5QF,
990,Smith Terrace,2975000,House,2041,3,3,3,Chelsea,London,SW3 4DL,
991,Thornton Place,899000,New development,982,2,2,2,Clapham Common North Side,London,SW4 0AB,
992,Holland Street,3500000,House,2401,4,4,4,,London,W8 4NA,
993,John Spencer Square,599995,Flat / Apartment,528,1,1,1,,London,N1 2LZ,
994,Kingsland Road,550000,Flat / Apartment,736,2,2,2,Hackney,London,E8 4EG,
995,Calbourne Road,1325000,House,1595,4,4,4,,London,SW12 8LW,
996,Balham Park Road,2400000,House,2850,6,6,6,,London,SW12 8DZ,
997,Streathbourne Road,2500000,House,3525,6,6,6,,London,SW17 8QY,
998,Phoenix Wharf,1150000,Flat / Apartment,1302,2,2,2, Limehouse,London,E14 8DQ,
999,Lock Side Way,550000,New development,1023,2,2,2,Royal Albert Wharf,London,E16 2QJ,
1000,City Walk Apartments,690000,Flat / Apartment,753,2,2,2, Clerkenwell,London,EC1V 3RF,
1001,Worship Street,1175000,Flat / Apartment,949,2,2,2,Clerkenwell,London,EC2A 2AH,
1002,Thornton Avenue,2000000,House,2222,5,5,5,Chiswick,London,W4 1QG,
1003,Bishops Gate,1045000,New development,810,2,2,2, Fulham High Street,Fulham,SW6 3LF,
1004,Yvon House,699950,Flat / Apartment,848,2,2,2, Battersea,London,SW11 4GA,
1005,Holden Street,900000,House,1223,3,3,3,Battersea,London,SW11 5UP,
1006,Matthews Street,875000,House,1061,3,3,3,Battersea,London,SW11 5AB,
1007,King Edwards Road,1695000,House,1938,4,4,4,South Hackney,London,E9 7SF,
1008,Lords View,845000,Flat / Apartment,960,2,2,2, St. John's Wood,London,NW8 7HL,
1009,Sovereign Mews,850000,House,1213,4,4,4, Hackney,London,E2 8ER,
1010,Princelet Street,2000000,Flat / Apartment,2401,3,3,3,,Spitalfields,E1 6QH,
1011,Eaton Square,3250000,Flat / Apartment,1509,1,1,1,Belgravia,London,SW1W 9DF,
1012,Egbert Street,1750000,Flat / Apartment,1239,3,3,3,Primrose Hill,London,NW1 8LJ,
1013,Heathside Close,1250000,House,1880,4,4,4,Moor Park,Middlesex,HA6 2EQ,
1014,Birchside Apartments,550000,New development,562,1,1,1, Queens Park,London,NW6 5FS,
1015,Wimpole Mews,1050000,Flat / Apartment,1309,3,3,3,Marylebone,London,W1G 8PD,
1016,Portman Mansions,1095000,Flat / Apartment,945,1,1,1, Marylebone,London,W1U 6NT,
1017,Eldon Grove,1100000,Flat / Apartment,985,3,3,3,Hampstead,London,NW3 5PT,
1018,Frognal Lane,3000000,Flat / Apartment,2427,4,4,4,Hampstead,London,NW3 7DU,
1019,Pursers Cross Road,2150000,House,2416,5,5,5,Fulham,London,SW6 4QZ,
1020,Temple Sheen Road,1800000,House,2129,5,5,5,East Sheen,London,SW14 7RS,
1021,Spencer Gardens,1295000,House,1248,3,3,3,,London,SW14 7AH,
1022,Graveney Road,1125000,House,2137,5,5,5,,London,SW17 0EG,
1023,Ravenswood Road,1025000,House,1556,4,4,4,,London,SW12 9PN,
1024,Foxbourne Road,1675000,House,2346,5,5,5,,London,SW17 8EW,
1025,Weltje Road,2750000,House,3251,7,7,7,Ravenscourt Park,London,W6 9LT,
1026,Finborough Road,500000,Flat / Apartment,670,1,1,1,,London,SW10 9DA,
1027,Dewhurst Road,2520000,House,2638,5,5,5,Brook Green,London,W14 0ES,
1028,Sinclair Road,865000,Flat / Apartment,1023,2,2,2,,London,W14 0NP,
1029,Lurline Gardens,700000,Flat / Apartment,875,2,2,2,Battersea,London,SW11 4DB,
1030,Orbel Street,1350000,House,1295,3,3,3,Battersea,London,SW11 3NX,
1031,Riverwalk,3450000,Flat / Apartment,1215,2,2,2, Westminster,London,SW1P 4FA,
1032,Birdhurst Road,775000,Flat / Apartment,1066,3,3,3,,London,SW18 1AR,
1033,Wilna Road,1195000,House,1697,4,4,4,,London,SW18 3AY,
1034,Bradstock Road,725000,Penthouse,1200,3,3,3,Hackney,London,E9 5BZ,
1035,Ashby Street,700000,Flat / Apartment,606,2,2,2,Clerkenwell,London,EC1V 0ED,
1036,Seward Street,695000,Flat / Apartment,796,2,2,2,Clerkenwell,London,EC1V 3PA,
1037,Moor Lane,1299000,Flat / Apartment,827,2,2,2,City Of London,London,EC2Y 9BA,
1038,Hans Road,5950000,Flat / Apartment,2817,3,3,3,Knightsbridge,London,SW3 1RW,
1039,Rotherwood Road,1475000,House,1894,4,4,4,Putney,London,SW15 1LA,
1040,Larpent Avenue,2950000,House,3336,7,7,7,Putney,London,SW15 6UU,
1041,Granard Road,450000,Flat / Apartment,570,2,2,2,,London,SW12 8UJ,
1042,Worcester Gardens,550000,Flat / Apartment,672,2,2,2,,London,SW11 6LR,
1043,Pall Mall,2250000,Flat / Apartment,1297,2,2,2,St James's,London,SW1Y 5JH,
1044,Wollaton House,599950,Flat / Apartment,734,1,1,1, Islington,London,N1 0EY,
1045,Aberdeen Road,650000,Flat / Apartment,667,1,1,1,,London,N5 2XA,
1046,Sandilands Road,850000,House,900,2,2,2,Fulham,London,SW6 2BD,
1047,Edenvale Street,825000,Flat / Apartment,1027,3,3,3,Fulham,London,SW6 2SF,
1048,Linver Road,1850000,House,1678,5,5,5,Fulham,London,SW6 3RB,
1049,Doulton House,1750000,Flat / Apartment,1390,3,3,3,11 Park Street,London,SW6 2FT,
1050,Lilyville Road,3150000,House,3100,5,5,5,Fulham,London,SW6 5DP,
1051,Second Avenue,599950,Flat / Apartment,1128,3,3,3,Acton,London,W3 7RX,
1052,Cornwall Gardens,1195000,Flat / Apartment,752,2,2,2,,London,SW7 4BA,
1053,Aberdeen Wharf,950000,Flat / Apartment,973,2,2,2,94 Wapping High Street,London,E1W 2ND,
1054,Bishops Gate,1050000,New development,817,2,2,2,82-88 Fulham High Street,London,SW6 3LF,
1055,Bishops Gate,695000,New development,678,2,2,2,82-88 Bishops Gate,Fulham High Street,SW6 3LF,
1056,Montem Terrace,3895000,New development,4453,6,6,6,35A Arterberry Road,London,SW20 8AG,
1057,Belvedere Heights,425000,Flat / Apartment,502,1,1,1, St. John's Wood,London,NW8 8HZ,
1058,West Hill,439000,Flat / Apartment,670,2,2,2,Putney,London,SW15 2UF,
1059,Westbourne Park Road,4500000,House,2742,6,6,6,Notting Hill,London,W2 5PH,
1060,Lynette Avenue,599950,Flat / Apartment,689,1,1,1,,London,SW4 9HD,
1061,Ronalds Road,1500000,House,1327,4,4,4,Highbury,London,N5 1XB,
1062,Cloudesley Street,625000,Flat / Apartment,513,1,1,1,Islington,London,N1 0HX,
1063,Tottenham Road,499999,Flat / Apartment,700,1,1,1,De Beauvoir,London,N1 4BD,
1064,Hertford Road,435000,Flat / Apartment,565,1,1,1,,London,N1 5SH,
1065,Dartmouth Park Road,850000,Flat / Apartment,743,2,2,2,,London,NW5 1SN,
1066,The Chase,2695000,House,3125,4,4,4,,London,SW4 0NH,
1067,Wavendon Avenue,2250000,House,2389,5,5,5,Chiswick,London,W4 4NR,
1068,Chiswick,1700000,House,2033,5,5,5,,London,W4 3HA,
1069,Old Brompton Road,3450000,House,2160,4,4,4,,London,SW7 3RA,
1070,Castelnau,3250000,House,3098,5,5,5,Barnes,London,SW13 9ET,
1071,Dorville Crescent,650000,Flat / Apartment,650,2,2,2,,London,W6 0HJ,
1072,Television Centre,1395000,Flat / Apartment,981,2,2,2,101 Wood Lane,London,W12 7FT,
1073,Alexander Court,475000,Flat / Apartment,705,2,2,2,Wandsworth Common West Side,London,SW18 2EJ,
1074,Hotham Road,1250000,House,1810,3,3,3,Putney,London,SW15 1QJ,
1075,Danemere Street,1150000,House,1468,3,3,3,Putney,London,SW15 1LT,
1076,Copperbeech Court,575000,Flat / Apartment,1092,2,2,2, Northwood,Middlesex,HA6 2YJ,
1077,North Side Wandsworth Common,695000,Flat / Apartment,815,2,2,2,,London,SW18 2SL,
1078,Manchuria Road,2100000,House,2325,5,5,5,,London,SW11 6AE,
1079,Mandalay Road,750000,Flat / Apartment,838,2,2,2,,London,SW4 9ED,
1080,Shelgate Road,1399000,House,1456,3,3,3,Battersea,London,SW11 1BQ,
1081,Pearson Square,4750000,Penthouse,1774,3,3,3,Fitzrovia,London,W1T 3BJ,
1082,Canonbury Lane,2275000,House,1969,4,4,4,Islington,London,N1 2AP,
1083,Lofting Road,599950,Flat / Apartment,657,2,2,2,Islington,London,N1 1ET,
1084,Palewell Park,1995000,House,2707,5,5,5,East Sheen,London,SW14 8JH,
1085,Kings Road,899000,House,1109,3,3,3,,London,SW14 8PF,
1086,Richmond Park Road,1575000,House,2050,5,5,5,,London,SW14 8JU,
1087,Osprey Court,850000,Flat / Apartment,655,1,1,1,Star Place,London,E1W 1AG,
1088,Fernside Road,1250000,House,1683,4,4,4,,London,SW12 8LN,
1089,Paddenswick Road,3750000,House,3391,5,5,5,Ravenscourt Park,London,W6 0UA,
1090,Bollo Lane,995000,House,1423,5,5,5,Chiswick,London,W4 5LT,
1091,Devonshire Road,850000,House,1163,3,3,3,Chiswick,London,W4 2HD,
1092,Grove Court,2400000,Flat / Apartment,1898,4,4,4,Drayton Gardens,London,SW10 9QY,
1093,Kathleen Road,599950,Flat / Apartment,830,3,3,3,Battersea,London,SW11 2JR,
1094,Huntspill Street,875000,House,1334,5,5,5,,London,SW17 0AA,
1095,Eamont Court,675000,Flat / Apartment,602,2,2,2, St. Johns Wood,London,NW8 7DG,
1096,Murray Street,735000,Flat / Apartment,953,2,2,2,Camden,London,NW1 9RE,
1097,Mandalay Road,925000,Flat / Apartment,1082,2,2,2,,London,SW4 9ED,
1098,Mapesbury Road,1300000,House,2547,5,5,5,Brondesbury,London,NW2 4HJ,
1099,Hereford Square,7450000,House,3997,6,6,6,South Kensington,London,SW7 4TS,
1100,Wilton Place,8250000,House,3188,5,5,5,Belgravia,London,SW1X 8RL,
1101,College Cross,2395000,House,2212,4,4,4,Islington,London,N1 1PT,
1102,Northchurch Road,500000,Flat / Apartment,675,1,1,1,Islington,London,N1 3FL,
1103,Canonbury Park South,2550000,House,2241,5,5,5,Canonbury,London,N1 2JG,
1104,Upper Place,600000,New development,721,2,2,2, Clapton,London,E5 9BU,
1105,City Mills Apartments,590000,Flat / Apartment,702,2,2,2,Lee Street,London,E8 4FB,
1106,Eagle Mews,550000,House,674,2,2,2,Tottenham Road,London,N1 4ST,
1107,Brookville Road,1650000,House,1716,5,5,5, Fulham,London,SW6 7BH,
1108,Culmington Road,1250000,House,1700,4,4,4,Ealing,London,W13 9NB,
1109,Liberty House,599000,Flat / Apartment,830,2,2,2,Ensign Street,London,E1 8JA,
1110,Chestnut Grove,1325000,House,1800,4,4,4,,London,SW12 8JG,
1111,Cottenham Park Road,1350000,Flat / Apartment,1862,3,3,3,Wimbledon,London,SW20 0RZ,
1112,Craven Gardens,1225000,House,1681,4,4,4,Wimbledon,London,SW19 8LU,
1113,Southlands Drive,650000,Flat / Apartment,779,2,2,2,Wimbledon,London,SW19 5QH,
1114,Springfield Road,6950000,House,3911,6,6,6,St. John's Wood,London,NW8 0QN,
1115,Loudoun Road,4495000,House,2607,4,4,4,St. John's Wood,London,NW8 0LT,
1116,Norfolk Mansions,599950,Flat / Apartment,969,3,3,3, Putney,London,SW18 1NU,
1117,The Glass House,465000,Flat / Apartment,461,1,1,1, Putney,London,SW15 1PR,
1118,Harley Road,749950,Flat / Apartment,650,2,2,2,,London,NW3 3BN,
1119,Altenburg Gardens,1050000,Flat / Apartment,1155,2,2,2,,London,SW11 1JL,
1120,Harbut Road,650000,Flat / Apartment,684,2,2,2,,London,SW11 2RB,
